net,length_um
_06342_,89.84µm
net2133,89.82µm
net3462,89.66µm
net772,89.64µm
_06135_,89.58µm
net2548,89.55µm
net2180,89.44µm
net1540,89.4µm
_04592_,89.32µm
net2563,89.28µm
net2262,89.26µm
net3225,89.13µm
_06268_,89.08µm
net2176,89.06µm
net1784,88.975µm
net1234,88.95µm
net970,88.9µm
_06074_,88.67µm
_03042_,88.63µm
net1914,88.6µm
net1921,88.57µm
net984,88.5µm
net1984,88.48µm
_01397_,88.42µm
net1981,88.41µm
adder_inst.i_a\[21\],88.4µm
net2682,88.4µm
_06945_,88.35µm
net1801,88.33µm
net1042,88.05µm
net231,87.98µm
clknet_leaf_3_clk,87.94µm
net2478,87.87µm
net759,87.82µm
net361,87.75µm
net1777,87.74µm
_05562_,87.71µm
net135,87.68µm
net1825,87.55µm
net1332,87.54µm
net2036,87.53µm
_00474_,87.52µm
net2294,87.52µm
net1334,87.48µm
net3000,87.48µm
net2075,87.4µm
net1818,87.34µm
net2847,87.29µm
net1043,87.24µm
net2944,87.145µm
net2375,87.14µm
net1516,87µm
net2269,87µm
net2389,86.84µm
net2035,86.76µm
net2313,86.62µm
net1885,86.6µm
_06904_,86.58µm
_00047_,86.56µm
net1734,86.54µm
_03400_,86.52µm
net2486,86.38µm
net1340,86.33µm
_01493_,86.32µm
net1187,86.27µm
_06134_,86.2µm
net2321,86.15µm
net1346,86.03µm
net1495,85.96µm
_01492_,85.94µm
net2678,85.82µm
net1922,85.7µm
net1998,85.64µm
net2027,85.46µm
net2875,85.42µm
_06663_,85.35µm
net3467,85.34µm
net2378,85.22µm
adder_inst.i_a\[20\],85.2µm
net1355,85.19µm
net1361,85.1µm
net2571,84.91µm
net2595,84.84µm
net1733,84.76µm
_03841_,84.68µm
net1966,84.68µm
net377,84.52µm
net1674,84.52µm
net1909,84.46µm
_06456_,84.44µm
_04167_,84.37µm
net2432,84.36µm
net2573,84.35µm
net292,84.34µm
net2175,84.15µm
net2706,84.11µm
_04591_,84.1µm
net807,84.1µm
_05740_,83.97µm
net2182,83.94µm
net839,83.91µm
net1796,83.9µm
net2110,83.76µm
net1047,83.75µm
net886,83.66µm
net2468,83.655µm
_00822_,83.64µm
net499,83.62µm
net1475,83.4µm
net1627,83.395µm
net2827,83.395µm
net1647,83.36µm
net2128,83.34µm
net843,83.31µm
_00730_,83.28µm
net1082,83.22µm
net1764,83.16µm
net1941,83.16µm
net2266,82.96µm
net3297,82.945µm
net1956,82.86µm
net2694,82.77µm
adder_inst.i_a\[22\],82.76µm
net1815,82.65µm
net3300,82.63µm
_02520_,82.6µm
net1831,82.56µm
net1912,82.48µm
net2319,82.48µm
_06129_,82.46µm
net1827,82.46µm
net1157,82.42µm
net270,82.41µm
net1598,82.39µm
net2328,82.39µm
net1019,82.37µm
_04809_,82.155µm
net2399,82.12µm
_06075_,82.04µm
net2797,81.84µm
adder_inst.sum_raw_r\[15\],81.77µm
_06553_,81.75µm
_06137_,81.7µm
net1744,81.67µm
net1490,81.51µm
net1860,81.3µm
net2349,81.27µm
net2170,81.25µm
net2700,81.23µm
net2956,81.16µm
net2565,81.16µm
net2171,81.14µm
_02023_,81.12µm
_06959_,81.06µm
net1510,81.06µm
net2019,81.06µm
net1127,81.02µm
_05714_,80.97µm
_01114_,80.88µm
net2159,80.84µm
net3468,80.82µm
net1965,80.675µm
net2750,80.6µm
net1628,80.54µm
net1408,80.52µm
net2105,80.52µm
net603,80.5µm
net1123,80.49µm
_05589_,80.48µm
net1421,80.46µm
net2927,80.44µm
net1239,80.42µm
net2213,80.4µm
net2124,80.36µm
net2200,80.32µm
net837,80.21µm
_05323_,80.16µm
net2404,80.1µm
net1013,80.075µm
net1873,79.9µm
net1986,79.84µm
net364,79.8µm
net2094,79.72µm
net1424,79.7µm
net162,79.64µm
_02105_,79.57µm
net532,79.56µm
_01722_,79.42µm
adder_inst.sum_raw_r\[12\],79.4µm
_06529_,79.33µm
net2149,79.33µm
_04567_,79.28µm
adder_inst.man_b_r\[15\],79.28µm
net855,79.28µm
_06136_,79.25µm
net3181,79.22µm
net2220,79.18µm
net2773,79.15µm
net1169,78.98µm
adder_inst.man_b_r\[14\],78.97µm
net2202,78.94µm
net1001,78.92µm
net2880,78.84µm
_01513_,78.76µm
net1845,78.72µm
net1892,78.72µm
net1955,78.63µm
_06322_,78.6µm
net1900,78.59µm
net1009,78.52µm
net1151,78.52µm
_00491_,78.48µm
net2238,78.42µm
net1273,78.38µm
net1991,78.37µm
net160,78.29µm
net1454,78.26µm
net1866,78.2µm
net2296,78.19µm
net2801,78.18µm
net1997,78.01µm
_06882_,77.92µm
net1456,77.86µm
_06550_,77.84µm
net1227,77.82µm
net1451,77.74µm
net1128,77.72µm
net2210,77.66µm
_06894_,77.55µm
net996,77.46µm
_01721_,77.38µm
_05427_,77.37µm
net1958,77.33µm
net2122,77.24µm
net2787,77.24µm
net224,77.19µm
net2799,77.16µm
_01514_,77.1µm
_05858_,77.09µm
net2479,77.08µm
net2199,77.04µm
net1463,76.92µm
net2936,76.88µm
net1085,76.75µm
net2752,76.75µm
net602,76.74µm
net1388,76.72µm
net2772,76.72µm
net2646,76.6µm
net1533,76.54µm
_05734_,76.38µm
net2100,76.345µm
_03456_,76.32µm
net1433,76.26µm
net2383,76.21µm
_02335_,76.18µm
net353,76.14µm
net2031,76.06µm
_05814_,76.05µm
net2761,76.04µm
net2289,76.03µm
_05116_,75.98µm
net125,75.92µm
net154,75.92µm
_01901_,75.9µm
_03068_,75.88µm
net1781,75.86µm
net1485,75.82µm
net1791,75.82µm
net787,75.8µm
net1800,75.79µm
net2438,75.76µm
net1443,75.75µm
adder_inst.sum_raw\[9\],75.64µm
adder_inst.exp_larger_r\[7\],75.63µm
net3204,75.58µm
_05844_,75.55µm
net1664,75.54µm
_02835_,75.26µm
_03381_,75.17µm
_04848_,75.14µm
net222,75.09µm
net301,74.98µm
net1968,74.96µm
adder_inst.sum_raw\[0\],74.91µm
net2207,74.9µm
net1488,74.89µm
_02523_,74.76µm
_06311_,74.68µm
net1861,74.65µm
net1236,74.645µm
adder_inst.sum_raw\[8\],74.57µm
net1603,74.56µm
net1089,74.53µm
net2203,74.53µm
adder_inst.is_inf_r,74.36µm
net1762,74.24µm
net892,74.12µm
net1195,74.1µm
net2331,73.965µm
net2651,73.94µm
_00217_,73.92µm
net1613,73.86µm
net2876,73.7µm
net1883,73.69µm
net496,73.66µm
net1005,73.66µm
net2655,73.58µm
_05438_,73.55µm
net232,73.52µm
_00061_,73.43µm
adder_inst.man_a_r\[8\],73.41µm
net1584,73.34µm
net2860,73.32µm
net2085,73.3µm
_06314_,73.2µm
_03383_,73.19µm
net1712,73.18µm
_02950_,73.12µm
net2455,73.11µm
_01832_,73.08µm
net483,73.04µm
net691,73.04µm
net2496,73.04µm
_06858_,73.03µm
net744,73.02µm
net2076,72.99µm
adder_inst.sum_raw\[2\],72.86µm
_03483_,72.84µm
net2263,72.78µm
_01188_,72.75µm
_05768_,72.71µm
net1979,72.68µm
net2722,72.63µm
_04553_,72.6µm
_03437_,72.59µm
adder_inst.man_a\[23\],72.5µm
net2746,72.5µm
net2789,72.5µm
net531,72.48µm
_03168_,72.47µm
net2721,72.3µm
_01124_,72.27µm
net2677,72.27µm
net918,72.26µm
net1918,72.235µm
net3166,72.17µm
net1903,72.13µm
_04169_,71.98µm
_03064_,71.94µm
net2557,71.875µm
net533,71.8µm
net521,71.78µm
net2177,71.76µm
_04558_,71.72µm
net3019,71.71µm
net501,71.68µm
net1779,71.655µm
net1701,71.6µm
_01377_,71.56µm
multiplier_inst.man_final\[21\],71.54µm
net1416,71.52µm
net2361,71.465µm
_02726_,71.44µm
net2060,71.42µm
net2589,71.4µm
net2430,71.36µm
net2766,71.36µm
net1383,71.34µm
net136,71.33µm
_03476_,71.32µm
net1194,71.3µm
net3306,71.28µm
net1434,71.27µm
_02132_,71.26µm
