net,length_um
_3883_,42.6µm
_4004_,42.305µm
_0603_,42.3µm
_4451_,42.3µm
_3413_,42.26µm
_3244_,42.195µm
adder_inst.man_a_r\[18\],42.18µm
_2990_,42.16µm
adder_inst.exp_b\[0\],42.12µm
_1098_,42.06µm
_2678_,41.96µm
_3626_,41.9µm
net539,41.84µm
clknet_leaf_8_clk,41.82µm
_0824_,41.7µm
_3978_,41.5µm
_2612_,41.255µm
_1801_,41.24µm
_0740_,41.18µm
_3698_,41.18µm
net544,41.14µm
net199,41.12µm
_3077_,40.78µm
adder_inst.man_a_r\[10\],40.78µm
add_res\[29\],40.76µm
_2738_,40.74µm
_1389_,40.68µm
adder_inst.sum_raw\[6\],40.605µm
_2917_,40.54µm
_0647_,40.52µm
_1372_,40.34µm
_0829_,40.32µm
_1472_,40.3µm
_1876_,40.3µm
_4216_,40.28µm
_3929_,40.22µm
adder_inst.man_b\[23\],40.16µm
_4091_,40.12µm
_3173_,40.08µm
_2409_,40µm
_3312_,39.9µm
_1749_,39.82µm
net58,39.74µm
multiplier_inst.man_final\[0\],39.52µm
_4357_,39.44µm
adder_inst.man_a_r\[14\],39.44µm
_4272_,39.14µm
_2482_,39.1µm
_1450_,39µm
_3776_,38.84µm
_1145_,38.735µm
_3428_,38.66µm
adder_inst.i_b\[21\],38.64µm
_2827_,38.6µm
_4026_,38.48µm
net614,38.44µm
_3399_,38.42µm
_2484_,38.32µm
_0066_,38.2µm
_0817_,38.12µm
_2415_,38.12µm
_2797_,38.02µm
_2316_,37.94µm
_4109_,37.94µm
_1097_,37.92µm
_3656_,37.84µm
_4042_,37.84µm
_1708_,37.78µm
_3980_,37.78µm
_3019_,37.66µm
_3001_,37.64µm
_1468_,37.59µm
_1140_,37.58µm
_1777_,37.56µm
_3481_,37.52µm
_2336_,37.44µm
_3469_,37.44µm
_2739_,37.38µm
_3790_,37.38µm
_3264_,37.3µm
_1065_,37.24µm
adder_inst.man_a_r\[23\],37.18µm
_1003_,37.1µm
adder_inst.i_a\[12\],37.1µm
_4103_,36.98µm
_0889_,36.96µm
_3445_,36.82µm
_1764_,36.76µm
_2101_,36.74µm
_2038_,36.66µm
_3472_,36.6µm
net517,36.56µm
_4047_,36.465µm
_2798_,36.46µm
_2224_,36.39µm
_3255_,36.38µm
_0724_,36.14µm
_2269_,36.08µm
_3805_,36.04µm
_3220_,36µm
_1673_,35.98µm
_1941_,35.97µm
_2117_,35.96µm
_0556_,35.82µm
_3360_,35.66µm
_4176_,35.66µm
_2841_,35.64µm
_3694_,35.56µm
_2318_,35.47µm
_0786_,35.44µm
_1548_,35.36µm
_2865_,35.36µm
net616,35.36µm
_2322_,35.34µm
_1860_,35.32µm
_4005_,35.3µm
adder_inst.i_b\[2\],35.3µm
_0977_,35.24µm
_2901_,35.14µm
_0685_,35.12µm
_0531_,35.1µm
_0657_,35.06µm
_3353_,34.92µm
_3333_,34.9µm
_4019_,34.9µm
_3408_,34.88µm
_3991_,34.82µm
_1147_,34.8µm
_1954_,34.71µm
_4481_,34.68µm
_2585_,34.64µm
adder_inst.man_a_r\[0\],34.64µm
_0699_,34.58µm
_1132_,34.56µm
_3059_,34.54µm
_4033_,34.44µm
_0455_,34.32µm
_4039_,34.32µm
_1773_,34.29µm
_3021_,34.26µm
_4058_,34.24µm
net8,34.14µm
adder_inst.man_b_r\[12\],34.12µm
_0906_,34.1µm
_4302_,34.1µm
_2822_,34.06µm
_3987_,34µm
_1174_,33.96µm
_3022_,33.92µm
_0574_,33.9µm
_3663_,33.9µm
_3497_,33.84µm
_3232_,33.66µm
_2570_,33.6µm
_3170_,33.56µm
_1530_,33.52µm
_2710_,33.5µm
_3158_,33.46µm
_3248_,33.46µm
_3435_,33.46µm
_2616_,33.42µm
_3783_,33.4µm
adder_inst.exp_a\[5\],33.34µm
net164,33.32µm
_3387_,33.26µm
_4046_,33.18µm
_0089_,33.16µm
_3855_,33.14µm
_3199_,33.12µm
_3206_,33.12µm
_0769_,33µm
_0917_,32.96µm
adder_inst.i_a\[13\],32.96µm
_2542_,32.945µm
_0577_,32.92µm
adder_inst.exp_b_r\[7\],32.9µm
_0807_,32.88µm
_1962_,32.78µm
adder_inst.exp_a\[6\],32.78µm
_4245_,32.73µm
_2641_,32.7µm
_3213_,32.67µm
_1843_,32.62µm
_1796_,32.61µm
net617,32.58µm
_3230_,32.5µm
